Genes,CAOV3,JHOS2,PEO1,PEO4,OAW28,COV504,JHOS4,CAOV4,NIHOVCAR3,SNU8,PEA1,59M,ES2
CALM1,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
DHPS,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
UBE2C,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
PRKCZ,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
SHMT1,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
P4HB,1.00000002,1.000000019,0.99999997,1.000000036,0.999999986,1.00000002,1,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
GSTZ1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
ACSM2A,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
PTPRZ1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
PEAK1,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
GAK,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
BHMT2,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
PYCR3,1.00000002,1.000000022,0.99999997,1.000000036,0.999999986,1.000000019,1.000000001,0.999999999,1.000000039,1,0.999999987,1.00000002,0.999999994
